origin,    yr,trip_code,  sample_no,sub_sample_no,area ,species,    fish_no,prep_no   ,block_no,agreed_result1,agreed_result2,method,agreed_age,agreed_error1,agreed_error2,proj_code   ,comments,,,,,
KAH,2020,kah2001,18,1,BPLE,SNA,2,230,,6,W,22,7,,,INT201803,,,,,,
KAH,2020,kah2001,18,1,BPLE,SNA,4,231,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,18,1,BPLE,SNA,5,232,,10,W,22,11,,,INT201803,,,,,,
KAH,2020,kah2001,18,1,BPLE,SNA,6,233,,6,W,22,7,,,INT201803,,,,,,
KAH,2020,kah2001,18,1,BPLE,SNA,7,234,,10,W,22,11,,,INT201803,,,,,,
KAH,2020,kah2001,18,1,BPLE,SNA,8,235,,17,W,22,18,,,INT201803,,,,,,
KAH,2020,kah2001,18,1,BPLE,SNA,9,236,,20,W,22,21,,,INT201803,,,,,,
KAH,2020,kah2001,18,1,BPLE,SNA,10,237,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,18,1,BPLE,SNA,14,238,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,18,1,BPLE,SNA,16,239,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,18,1,BPLE,SNA,17,240,,6,W,22,7,,,INT201803,,,,,,
KAH,2020,kah2001,18,1,BPLE,SNA,18,241,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,18,1,BPLE,SNA,20,242,,10,W,22,11,,,INT201803,,,,,,
KAH,2020,kah2001,18,1,BPLE,SNA,21,243,,20,W,22,21,,,INT201803,,,,,,
KAH,2020,kah2001,18,1,BPLE,SNA,23,244,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,19,1,BPLE,SNA,17,246,,9,W,22,10,,,INT201803,,,,,,
KAH,2020,kah2001,19,1,BPLE,SNA,18,247,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,19,1,BPLE,SNA,19,248,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,19,1,BPLE,SNA,20,249,,2,W,22,3,,,INT201803,,,,,,
KAH,2020,kah2001,19,1,BPLE,SNA,21,250,,0,W,22,1,,,INT201803,,,,,,
KAH,2020,kah2001,19,1,BPLE,SNA,22,251,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,19,1,BPLE,SNA,23,252,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,20,1,BPLE,SNA,2,253,,9,W,22,10,,,INT201803,,,,,,
KAH,2020,kah2001,20,1,BPLE,SNA,3,254,,3,W,22,4,,,INT201803,,,,,,
KAH,2020,kah2001,20,1,BPLE,SNA,5,255,,9,W,22,10,,,INT201803,,,,,,
KAH,2020,kah2001,20,1,BPLE,SNA,6,256,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,20,1,BPLE,SNA,8,257,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,20,1,BPLE,SNA,10,258,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,20,1,BPLE,SNA,11,259,,14,W,22,15,,,INT201803,,,,,,
KAH,2020,kah2001,20,1,BPLE,SNA,12,260,,6,W,22,7,,,INT201803,,,,,,
KAH,2020,kah2001,20,1,BPLE,SNA,14,261,,2,W,22,3,,,INT201803,,,,,,
KAH,2020,kah2001,20,1,BPLE,SNA,15,262,,3,W,22,4,,,INT201803,,,,,,
KAH,2020,kah2001,20,1,BPLE,SNA,18,263,,4,W,22,5,,,INT201803,,,,,,
KAH,2020,kah2001,20,1,BPLE,SNA,19,264,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,20,1,BPLE,SNA,20,265,,1,W,22,2,,,INT201803,,,,,,
KAH,2020,kah2001,20,1,BPLE,SNA,21,266,,2,W,22,3,,,INT201803,,,,,,
KAH,2020,kah2001,20,1,BPLE,SNA,22,267,,1,W,22,2,,,INT201803,,,,,,
